,strDrink,strAlcoholic,strCategory,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
0,'57 Chevy with a White License Plate,Alcoholic,Cocktail,Creme de Cacao,Vodka,,,,,,,,,,,,,
1,1-900-FUK-MEUP,Alcoholic,Shot,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,
2,110 in the shade,Alcoholic,Beer,Lager,Tequila,,,,,,,,,,,,,
3,151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,
4,155 Belmont,Alcoholic,Cocktail,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,
5,24k nightmare,Alcoholic,Shot,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,
6,252,Alcoholic,Shot,151 proof rum,Wild Turkey,,,,,,,,,,,,,
7,3 Wise Men,Alcoholic,Shot,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,
8,3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,
9,410 Gone,Alcoholic,Ordinary Drink,Peach Vodka,Coca-Cola,,,,,,,,,,,,,
10,50/50,Alcoholic,Ordinary Drink,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,
11,501 Blue,Alcoholic,Ordinary Drink,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,
12,69 Special,Alcoholic,Ordinary Drink,Gin,7-Up,Lemon juice,,,,,,,,,,,,
13,747,Alcoholic,Shot,Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,,,
14,9 1/2 Weeks,Alcoholic,Cocktail,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,,,
15,A Day at the Beach,Alcoholic,Ordinary Drink,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,,,
16,A Furlong Too Late,Alcoholic,Ordinary Drink,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,,
17,A Gilligan's Island,Alcoholic,Cocktail,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,
18,A Night In Old Mandalay,Alcoholic,Ordinary Drink,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,,,
19,A Piece of Ass,Alcoholic,Other/Unknown,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,
20,A Splash of Nash,Alcoholic,Shot,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,,,
21,A True Amaretto Sour,Alcoholic,Cocktail,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,
22,A midsummernight dream,Alcoholic,Ordinary Drink,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,
23,A. J.,Alcoholic,Ordinary Drink,Applejack,Grapefruit juice,,,,,,,,,,,,,
24,A.D.M. (After Dinner Mint),Alcoholic,Cocktail,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,
25,A1,Alcoholic,Cocktail,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,
26,ABC,Alcoholic,Shot,Amaretto,Bailey's irish cream,Cognac,,,,,,,,,,,,
27,ACID,Alcoholic,Shot,151 proof rum,Wild Turkey,,,,,,,,,,,,,
28,AT&T,Alcoholic,Ordinary Drink,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,
29,Abbey Cocktail,Alcoholic,Ordinary Drink,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,
30,Abbey Martini,Alcoholic,Cocktail,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,,,
31,Abilene,Alcoholic,Ordinary Drink,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,
32,Absinthe #2,Alcoholic,Homemade Liqueur,Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,,,
33,Absolut Evergreen,Alcoholic,Other/Unknown,Absolut Citron,Pisang Ambon,Ice,Bitter lemon,,,,,,,,,,,
34,Absolut Sex,Alcoholic,Shot,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,,,,,
35,Absolut Stress #2,Alcoholic,Ordinary Drink,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,,,,,
36,Absolut Summertime,Alcoholic,Cocktail,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,,,
37,Absolut limousine,Alcoholic,Other/Unknown,Absolut Citron,Lime juice,Ice,Tonic water,,,,,,,,,,,
38,Absolutely Cranberry Smash,Alcoholic,Ordinary Drink,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,,,,,
39,Absolutely Fabulous,Alcoholic,Cocktail,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,
40,Absolutly Screwed Up,Alcoholic,Cocktail,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,,,
41,Acapulco,Alcoholic,Ordinary Drink,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,
42,Ace,Alcoholic,Cocktail,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,
43,Adam,Alcoholic,Ordinary Drink,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,
44,Adam & Eve,Alcoholic,Cocktail,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,
45,Adam Bomb,Alcoholic,Punch / Party Drink,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,
46,Adam Sunrise,Alcoholic,Ordinary Drink,Vodka,Lemonade,Water,Sugar,,,,,,,,,,,
47,Addington,Alcoholic,Cocktail,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,
48,Addison,Alcoholic,Cocktail,Gin,Vermouth,,,,,,,,,,,,,
49,Addison Special,Alcoholic,Cocktail,Vodka,Grenadine,Orange juice,,,,,,,,,,,,
50,Adios Amigos Cocktail,Alcoholic,Cocktail,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,,,
51,Adonis Cocktail,Alcoholic,Ordinary Drink,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,
52,Affair,Alcoholic,Ordinary Drink,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,
53,Affinity,Alcoholic,Ordinary Drink,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,
54,After Dinner Cocktail,Alcoholic,Ordinary Drink,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,
55,After Five,Alcoholic,Shot,Peppermint schnapps,Kahlua,Bailey's irish cream,,,,,,,,,,,,
56,After Supper Cocktail,Alcoholic,Ordinary Drink,Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,,,
57,After sex,Alcoholic,Ordinary Drink,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,
58,Afterglow,Non alcoholic,Cocktail,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,
59,Afternoon,Alcoholic,Coffee / Tea,Kahlua,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,,,,,,
60,Alabama Slammer,Alcoholic,Ordinary Drink,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,
61,Alaska Cocktail,Alcoholic,Ordinary Drink,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,
62,Alexander,Alcoholic,Ordinary Drink,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,
63,Alfie Cocktail,Alcoholic,Ordinary Drink,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,
64,Algonquin,Alcoholic,Ordinary Drink,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,
65,Alice Cocktail,Non alcoholic,Cocktail,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,,,
66,Alice in Wonderland,Alcoholic,Ordinary Drink,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,,,
67,Allegheny,Alcoholic,Ordinary Drink,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,
68,Allies Cocktail,Alcoholic,Ordinary Drink,Dry Vermouth,Gin,Kummel,,,,,,,,,,,,
69,Almeria,Alcoholic,Ordinary Drink,Dark rum,Kahlua,Egg white,,,,,,,,,,,,
70,Almond Chocolate Coffee,Alcoholic,Ordinary Drink,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,,,
71,Almond Joy,Alcoholic,Ordinary Drink,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,
72,Aloha Fruit punch,Non alcoholic,Punch / Party Drink,Water,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,,,,,,,
73,Amaretto And Cream,Alcoholic,Ordinary Drink,Amaretto,Light cream,,,,,,,,,,,,,
74,Amaretto Liqueur,Alcoholic,Homemade Liqueur,Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring,Food coloring,Glycerine,,,,
75,Amaretto Mist,Alcoholic,Ordinary Drink,Amaretto,Lime,,,,,,,,,,,,,
76,Amaretto Rose,Alcoholic,Ordinary Drink,Amaretto,Lime juice,Club soda,,,,,,,,,,,,
77,Amaretto Shake,Alcoholic,Ordinary Drink,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,
78,Amaretto Sour,Alcoholic,Ordinary Drink,Amaretto,Sour mix,,,,,,,,,,,,,
79,Amaretto Stinger,Alcoholic,Ordinary Drink,Amaretto,White Creme de Menthe,,,,,,,,,,,,,
80,Amaretto Stone Sour,Alcoholic,Other/Unknown,Amaretto,Sour mix,Orange juice,,,,,,,,,,,,
81,Amaretto Stone Sour #3,Alcoholic,Other/Unknown,Sour mix,Amaretto,Tequila,Orange juice,,,,,,,,,,,
82,Amaretto Sunrise,Alcoholic,Ordinary Drink,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,
83,Amaretto Sunset,Alcoholic,Ordinary Drink,Triple sec,Amaretto,Cider,Ice,,,,,,,,,,,
84,Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,Amaretto,Sweet and sour,Midori melon liqueur,Pineapple juice,,,,,,,,,,,
85,Amaretto Tea,Alcoholic,Ordinary Drink,Tea,Amaretto,Whipped cream,,,,,,,,,,,,
86,Americano,Alcoholic,Ordinary Drink,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,,,
87,Angel Face,Alcoholic,Ordinary Drink,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,,
88,Angelica Liqueur,Alcoholic,Homemade Liqueur,Angelica root,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram leaves,Vodka,Sugar,Water,Food coloring,Food coloring,,,
89,Apello,Non alcoholic,Other/Unknown,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,
90,Apple Berry Smoothie,Non alcoholic,Other/Unknown,Berries,Apple,,,,,,,,,,,,,
91,Apple Cider Punch #1,Optional alcohol,Punch / Party Drink,Apple cider,Brown sugar,Lemonade,Orange juice,Cloves,Allspice,Nutmeg,Cinnamon,,,,,,,
92,Apple Grande,Alcoholic,Punch / Party Drink,Tequila,Apple cider,,,,,,,,,,,,,
93,Apple Karate,Non alcoholic,Cocktail,Apple juice,Carrot,,,,,,,,,,,,,
94,Apple Pie with A Crust,Alcoholic,Other/Unknown,Apple juice,Malibu rum,Cinnamon,,,,,,,,,,,,
95,Apple Slammer,Alcoholic,Shot,7-Up,Apple schnapps,,,,,,,,,,,,,
96,Applecar,Alcoholic,Ordinary Drink,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,
97,Applejack,Alcoholic,Cocktail,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,,,
98,Apricot Lady,Alcoholic,Ordinary Drink,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,,,,,
99,Apricot punch,Alcoholic,Punch / Party Drink,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,,,
100,Archbishop,Alcoholic,Ordinary Drink,Gin,Wine,Benedictine,Lime,,,,,,,,,,,
101,Arctic Fish,Alcoholic,Punch / Party Drink,Vodka,Grape soda,Orange juice,Ice,Candy,,,,,,,,,,
102,Arctic Mouthwash,Alcoholic,Punch / Party Drink,Maui,Mountain Dew,Ice,,,,,,,,,,,,
103,Arise My Love,Alcoholic,Ordinary Drink,Champagne,Green Creme de Menthe,,,,,,,,,,,,,
104,Arizona Antifreeze,Alcoholic,Shot,Vodka,Midori melon liqueur,Sweet and sour,,,,,,,,,,,,
105,Arizona Stingers,Alcoholic,Cocktail,Absolut Vodka,Iced tea,,,,,,,,,,,,,
106,Arizona Twister,Alcoholic,Cocktail,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,,,,,,
107,Army special,Alcoholic,Cocktail,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,
108,Arthur Tompkins,Alcoholic,Ordinary Drink,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,,,,,,
109,Artillery,Alcoholic,Ordinary Drink,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,
110,Artillery Punch,Alcoholic,Punch / Party Drink,Tea,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,,,,,,,
111,Atlantic Sun,Alcoholic,Ordinary Drink,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,
112,Atomic Lokade,Alcoholic,Ordinary Drink,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,
113,Auburn Headbanger,Alcoholic,Shot,Jägermeister,Goldschlager,,,,,,,,,,,,,
114,Autodafé,Alcoholic,Ordinary Drink,Vodka,Lime juice,Soda water,,,,,,,,,,,,
115,Avalanche,Alcoholic,Milk / Float / Shake,Crown Royal,Kahlua,Cream,,,,,,,,,,,,
116,Avalon,Alcoholic,Ordinary Drink,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,
117,Aviation,Alcoholic,Cocktail,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,
118,Aztec Punch,Alcoholic,Punch / Party Drink,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,
119,B-52,Alcoholic,Shot,Bailey's irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,
120,B-53,Alcoholic,Shot,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,
121,Baby Eskimo,Alcoholic,Milk / Float / Shake,Kahlua,Milk,Vanilla ice-cream,,,,,,,,,,,,
122,Baby Guinness,Alcoholic,Shot,Kahlua,Bailey's irish cream,,,,,,,,,,,,,
123,Bacardi Cocktail,Alcoholic,Ordinary Drink,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,,,,,,
124,Bailey's Dream Shake,Alcoholic,Soft Drink / Soda,Bailey's irish cream,Vanilla ice-cream,Cream,,,,,,,,,,,,
125,Balmoral,Alcoholic,Ordinary Drink,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,
126,Banana Cantaloupe Smoothie,Non alcoholic,Other/Unknown,Cantaloupe,Banana,,,,,,,,,,,,,
127,Banana Daiquiri,Alcoholic,Ordinary Drink,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,,,,,
128,Banana Milk Shake,Non alcoholic,Milk / Float / Shake,Milk,Orange juice,Sugar syrup,Banana,,,,,,,,,,,
129,Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,Strawberries,Banana,Yoghurt,Milk,Honey,,,,,,,,,,
130,Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,Strawberries,Banana,Apple juice,,,,,,,,,,,,
131,Barracuda,Alcoholic,Ordinary Drink,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,
132,Belgian Blue,Alcoholic,Soft Drink / Soda,Vodka,Coconut liqueur,Blue Curacao,Sprite,,,,,,,,,,,
133,Bellini,Alcoholic,Ordinary Drink,Champagne,Peach schnapps,,,,,,,,,,,,,
134,Bellini Martini,Alcoholic,Ordinary Drink,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,,,,,
135,Bermuda Highball,Alcoholic,Ordinary Drink,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,,
136,Berry Deadly,Alcoholic,Punch / Party Drink,Everclear,Wine,Orange juice,Kool-Aid,,,,,,,,,,,
137,Between The Sheets,Alcoholic,Ordinary Drink,Brandy,Light rum,Triple sec,Lemon juice,,,,,,,,,,,
138,Bible Belt,Alcoholic,Other/Unknown,Southern Comfort,Triple sec,Lime,Sour mix,,,,,,,,,,,
139,Big Red,Alcoholic,Shot,Irish cream,Goldschlager,,,,,,,,,,,,,
140,Black & Tan,Alcoholic,Beer,Ale,Guinness stout,,,,,,,,,,,,,
141,Black Forest Shake,Alcoholic,Milk / Float / Shake,Ice,Chocolate syrup,Cherry brandy,Vodka,Milk,,,,,,,,,,
142,Black Russian,Alcoholic,Ordinary Drink,Coffee liqueur,Vodka,,,,,,,,,,,,,
143,Black and Brown,Alcoholic,Beer,Guinness stout,Root beer,,,,,,,,,,,,,
144,Blackthorn,Alcoholic,Ordinary Drink,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,,,,,
145,Bleeding Surgeon,Alcoholic,Soft Drink / Soda,Dark rum,Orange,Surge,Cranberry juice,,,,,,,,,,,
146,Blind Russian,Alcoholic,Milk / Float / Shake,Bailey's irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,,,,,
147,Bloody Maria,Alcoholic,Ordinary Drink,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,,
148,Bloody Mary,Alcoholic,Ordinary Drink,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,
149,Blue Lagoon,Alcoholic,Ordinary Drink,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,
150,Blue Margarita,Alcoholic,Ordinary Drink,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,,,
151,Blue Mountain,Alcoholic,Ordinary Drink,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,,,,,,
152,Bluebird,Alcoholic,Ordinary Drink,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,
153,Bob Marley,Alcoholic,Shot,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,,,,,
154,Bobby Burns Cocktail,Alcoholic,Ordinary Drink,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,,,,,,
155,Boomerang,Alcoholic,Ordinary Drink,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,
156,Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,,,,,
157,Bora Bora,Non alcoholic,Cocktail,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,
158,Boston Sidecar,Alcoholic,Ordinary Drink,Light rum,Brandy,Triple sec,Lime,,,,,,,,,,,
159,Boston Sour,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,,,,,
160,Bourbon Sling,Alcoholic,Ordinary Drink,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,,,,,,
161,Bourbon Sour,Alcoholic,Ordinary Drink,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,
162,Boxcar,Alcoholic,Ordinary Drink,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,
163,Brain Fart,Alcoholic,Punch / Party Drink,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,
164,Brainteaser,Alcoholic,Shot,Sambuca,Erin Cream,Advocaat,,,,,,,,,,,,
165,Bramble,Alcoholic,Ordinary Drink,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,
166,Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,,,,,,,
167,Brandy Alexander,Alcoholic,Ordinary Drink,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,
168,Brandy Cobbler,Alcoholic,Ordinary Drink,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,,,
169,Brandy Flip,Alcoholic,Ordinary Drink,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,
170,Brandy Sour,Alcoholic,Ordinary Drink,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,
171,Brave Bull Shooter,Alcoholic,Shot,Tequila,Tabasco sauce,,,,,,,,,,,,,
172,Bruce's Puce,Alcoholic,Shot,Grenadine,Kahlua,Bailey's irish cream,,,,,,,,,,,,
173,Bruised Heart,Alcoholic,Shot,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,
174,Bubble Gum,Alcoholic,Shot,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,
